id1,id2,label
1063,4025,True
1063,4025,True
4473,1116,False
452,2954,True
615,3346,True
2209,2641,False
68,4861,False
451,1684,True
729,3171,True
478,1491,True
478,1491,True
477,1622,True
6,142,True
638,1919,True
664,1475,True
585,926,True
586,671,True
655,4894,True
228,1074,True
798,2913,True
2732,4939,False
1517,4939,False
460,1237,True
3088,4936,False
1294,4936,True
66,356,True
47,68,True
4735,1884,False
1939,1884,False
297,268,True
3087,719,False
652,3252,True
1092,3592,True
2412,1550,False
2635,3388,False
574,449,True
391,3226,True
679,2352,True
2,2,True
826,3714,True
199,126,True
1058,2989,True
946,2412,True
4889,3310,False
1806,3020,True
1869,3520,True
51,844,False
51,291,True
26,53,True
845,3764,True
4684,872,False
889,4013,True
3886,2246,False
2602,4392,False
3926,4392,False
122,1318,True
769,4172,True
390,2344,True
686,2743,True
40,135,True
3849,582,False
3849,163,False
2232,2126,False
671,3897,True
1640,823,True
1713,3501,True
821,3663,True
17,151,True
661,1837,True
487,960,True
728,947,True
4328,1625,False
2534,1625,False
363,185,True
250,688,True
756,3674,True
727,3492,True
396,1149,True
815,2665,True
1337,4200,True
279,589,True
766,1579,True
722,2671,True
1423,3775,True
1211,1773,True
125,74,True
108,553,True
446,1267,True
152,321,True
152,321,True
1326,2123,True
231,204,True
3619,4561,False
673,3808,True
869,1612,True
3148,3005,False
932,1240,False
660,2869,True
4356,1231,False
1985,4251,True
627,2263,True
1442,1584,True
1442,1584,True
879,762,False
383,3042,True
148,621,True
2518,169,False
1589,3609,True
793,2157,True
917,4750,False
917,4911,True
138,489,True
2106,327,False
604,3017,True
131,242,True
1042,4906,True
1646,3273,True
525,2721,True
716,2907,True
353,2964,True
44,10,True
464,1522,True
680,2011,True
522,3553,True
